rank,name,team,ev50
172,Bohm Alec,PHI,100.7
173,Bregman Alex,HOU,99.4
174,Shaw Matt,NYM,96.8
175,McLain Matt,CIN,99.2
176,Perdomo Geraldo,ARI,97.4
177,Altuve Jose,HOU,97.3
178,Pham Tommy,BOS,102.2
179,Betts Mookie,LAD,98.1
180,Garcia Maikel,KCR,101.3
181,Turner Trea,PHI,100.1
182,Contreras William,MIL,102.6
183,Lee Brooks,MIN,98.2
184,Lowe Nathaniel,TEX,100.4
185,Heim Jonah,TEX,98.3
186,Domínguez Jasson,NYY,102.2
187,Tauchman Mike,CHC,99.6
188,Jeffers Ryan,MIN,100.8
189,Smith Cam,TBR,100.5
190,Paredes Isaac,TBR,98
191,Triolo Jared,PIT,99.3
192,Castro Willi,MIN,99.4
193,India Jonathan,CIN,99.1
194,McKinstry Zach,DET,97
195,Mullins Cedric,BAL,98.8
196,Lile Daylen,WSN,99.2
197,McNeil Jeff,NYM,97.4
198,Cronenworth Jake,SDP,99.2
199,Báez Javier,DET,99.2
200,Lowe Josh,TBR,99.4
201,Stott Bryson,PHI,97.6
202,Andujar Miguel,OAK,99
203,Albies Ozzie,ATL,96.9
204,Rengifo Luis,LAA,97.8
205,Lukes Nathan,PIT,98.3
206,Meyers Jake,HOU,99.3
207,Smith Josh,TEX,97.4
208,Winn Masyn,STL,98.8
209,Flores Wilmer,SFN,96
210,Bailey Patrick,SFN,98.9
211,Caballero José,SEA,97.8
212,Crawford J.P.,SEA,98.2
213,Schanuel Nolan,LAA,96.6
214,Santana Carlos,MIN,99.2
215,Gonzales Nick,PIT,99.5
216,Edman Tommy,STL,99.4
217,Hayes Ke'Bryan,PIT,99.8
218,Durbin Caleb,MIL,96.1
219,Arenado Nolan,STL,97.2
220,Collins Isaac,COL,99.9
221,Fermin Freddy,KCR,98.5
222,Lee Jung Hoo,SFN,97.2
223,Quero Edgar,CHW,99.8
224,Hicks Liam,DET,96
225,Taylor Tyrone,NYM,98.3
226,Martínez Angel,CLE,97
227,Frelick Sal,MIL,96.1
228,Ortiz Joey,MIL,98
229,Lux Gavin,LAD,97.8
230,Scott II Victor,STL,96.8
231,Rocchio Brayan,CLE,98.3
232,Giménez Andrés,TOR,96.6
233,Mangum Jake,MIA,97.8
234,Hoerner Nico,CHC,96.7
235,Clement Ernie,TOR,96
236,Friedl TJ,CIN,97.5
237,Wilson Jacob,OAK,95.1
238,Kwan Steven,CLE,94.4
239,Freeman Tyler,CLE,99.7
240,Frazier Adam,PIT,94.6
241,Sanoja Javier,MIA,98.3
242,Iglesias Jose,NYM,96.1
243,Young Jacob,WSN,98.3
244,Meidroth Chase,BOS,97.7
245,Isbel Kyle,KCR,99.7
246,Kiner-Falefa Isiah,TOR,95.9
247,Arraez Luis,SDP,93.6
248,Dubón Mauricio,HOU,95.6
249,Edwards Xavier,MIA,96.8
250,Simpson Chandler,TBR,93.6
